category,n_train,n_valid,n_test
BACKGROUND_Google,234,117,117
Faces,217,109,109
Faces_easy,217,109,109
Leopards,100,50,50
Motorbikes,398,200,200
accordion,27,14,14
airplanes,400,200,200
anchor,20,11,11
ant,20,11,11
barrel,23,12,12
bass,26,14,14
beaver,22,12,12
binocular,16,8,9
bonsai,64,32,32
brain,48,25,25
brontosaurus,21,11,11
buddha,42,21,22
butterfly,45,23,23
camera,24,13,13
cannon,21,11,11
car_side,61,31,31
ceiling_fan,23,12,12
cellphone,29,15,15
chair,30,16,16
chandelier,53,27,27
cougar_body,23,12,12
cougar_face,34,17,18
crab,36,18,19
crayfish,34,18,18
crocodile,24,13,13
crocodile_head,25,13,13
cup,28,14,15
dalmatian,33,17,17
dollar_bill,26,13,13
dolphin,32,16,17
dragonfly,34,17,17
electric_guitar,37,19,19
elephant,32,16,16
emu,26,13,14
euphonium,32,16,16
ewer,42,21,22
ferry,33,17,17
flamingo,33,17,17
flamingo_head,22,11,12
garfield,16,9,9
gerenuk,16,9,9
gramophone,25,13,13
grand_piano,49,25,25
hawksbill,50,25,25
headphone,20,11,11
hedgehog,26,14,14
helicopter,44,22,22
ibis,40,20,20
inline_skate,15,8,8
joshua_tree,32,16,16
kangaroo,42,22,22
ketch,56,29,29
lamp,30,15,16
laptop,40,20,21
llama,38,20,20
lobster,20,10,11
lotus,32,17,17
mandolin,21,11,11
mayfly,20,10,10
menorah,43,22,22
metronome,16,8,8
minaret,38,19,19
nautilus,27,14,14
octopus,17,9,9
okapi,19,10,10
pagoda,23,12,12
panda,18,10,10
pigeon,22,11,12
pizza,26,13,14
platypus,16,9,9
pyramid,28,14,15
revolver,40,21,21
rhino,29,15,15
rooster,24,12,13
saxophone,20,10,10
schooner,31,16,16
scissors,19,10,10
scorpion,42,21,21
sea_horse,28,14,15
snoopy,17,9,9
soccer_ball,32,16,16
stapler,22,11,12
starfish,42,22,22
stegosaurus,29,15,15
stop_sign,32,16,16
strawberry,17,9,9
sunflower,42,21,22
test,0,0,0
tick,24,12,13
train,0,0,0
trilobite,42,22,22
umbrella,37,19,19
valid,0,0,0
watch,119,60,60
water_lilly,18,9,10
wheelchair,29,15,15
wild_cat,16,9,9
windsor_chair,28,14,14
wrench,19,10,10
yin_yang,30,15,15
